,ID,town,districts,street,Գին,Գին (Ք.Մ.),Սանհանգույց,Շինության տիպը,Առաստաղի բարձրություն,Վիճակը,Մակերես,Սենյակ,Հարկ/Հարկանի
19,154216,Երևան, Կենտրոն, Անտառային փող,"350,000","3,043",1,Մոնոլիտ,3 Մ,Վերանորոգված,115 Ք.Մ.,4,1/5
20,154214,Երևան, Քանաքեռ-Զեյթուն, Ա.Ահարոնյան փող,"255,000","2,629",1,Այլ,3.2 Մ,Լավ,97 Ք.Մ.,3,2/4
21,154796,Երևան, Արաբկիր, Վ.Փափազյան փող,"115,000","2,255",1,Քարե,2.8 Մ,Վերանորոգված,51 Ք.Մ.,2,5/5
22,141192,Երևան, Քանաքեռ-Զեյթուն, Կ. Ուլնեցու փող.,"88,000","1,630",1,Քարե,2.8 Մ,Լավ,54 Ք.Մ.,2,2/4
23,154795,Երևան, Արաբկիր, Օրբելի Եղբայրների փող,"145,000","2,101",2,Պանելային,2.8 Մ,Վերանորոգված,69 Ք.Մ.,3,8/10
24,154301,Երևան, Արաբկիր, Մամիկոնյանց փող,"210,000","2,019",1,Մոնոլիտ,3 Մ,Վերանորոգված,104 Ք.Մ.,3,10/16
25,154539,Երևան, Կենտրոն, Եկմալյան փող,"867,000","5,100",2,Մոնոլիտ,3 Մ,Վերանորոգված,170 Ք.Մ.,3,8/10
26,154097,Երևան, Արաբկիր, Ադոնց փող,"194,000","2,587",2,Մոնոլիտ,3 Մ,Լավ,75 Ք.Մ.,3,14/18
27,154789,Երևան, Կենտրոն, Քաջազնունու փող,"120,000","1,791",1,Քարե,2.8 Մ,Զրոյական,67 Ք.Մ.,2,3/5
28,153890,Երևան, Արաբկիր, Գրիբոեդովի փող,"135,000","2,250",1,Մոնոլիտ,3 Մ,Վերանորոգված,60 Ք.Մ.,3,1/5
29,153871,Երևան, Կենտրոն, Անտառային փող,"183,000","2,691",1,Մոնոլիտ,3 Մ,Լավ,68 Ք.Մ.,2,2/9
30,152658,Երևան, Դավթաշեն, Միկոյան փող,"245,000","2,227",1,Մոնոլիտ,3 Մ,Լավ,110 Ք.Մ.,3,17/18
31,153713,Երևան, Կենտրոն, Սայաթ-Նովայի պող,"250,000","2,632",3,Քարե,3 Մ,Լավ,95 Ք.Մ.,3,5/5
32,153715,Երևան, Դավթաշեն, Դավթաշեն 2 թաղ,"140,000","1,707",2,Մոնոլիտ,3 Մ,Վերանորոգված,82 Ք.Մ.,3,3/4
33,153677,Երևան, Կենտրոն, Մաշտոցի պող,"175,000","3,017",1,Քարե,3.2 Մ,Զրոյական,58 Ք.Մ.,2,3/4
34,153839,Երևան, Կենտրոն, Խորենացու փող,"170,000","2,464",1,Պանելային,2.8 Մ,Վերանորոգված,69 Ք.Մ.,2,8/9
35,154012,Երևան, Դավթաշեն, Միկոյան փող,"128,000","1,969",1,Մոնոլիտ,3 Մ,Վերանորոգված,65 Ք.Մ.,2,12/15
36,153745,Երևան, Արաբկիր, Վրացական փող,"138,000","1,971",1,Քարե,2.8 Մ,Վերանորոգված,70 Ք.Մ.,4,6/7
37,154144,Երևան, Նոր Նորք, Մոլդովական փող,"105,000","1,382",2,Քարե,3 Մ,Վերանորոգված,76 Ք.Մ.,3,5/5
38,153907,Երևան, Ավան, Մհեր Մկրտչյան,"600,000","3,750",2,Մոնոլիտ,3 Մ,Վերանորոգված,160 Ք.Մ.,3,5/5
39,153984,Երևան, Կենտրոն, Արամի փող,"250,000","4,032",1,Քարե,3.2 Մ,Վերանորոգված,62 Ք.Մ.,3,5/5
40,153673,Երևան, Կենտրոն, Մաշտոցի պող,"200,000","2,174",1,Քարե,3 Մ,Վերանորոգված,92 Ք.Մ.,3,1/5
41,153956,Երևան, Կենտրոն, Ռոստոմի փող,"175,000","2,917",1,Մոնոլիտ,3 Մ,Վերանորոգված,60 Ք.Մ.,2,12/15
42,144175,Երևան, Կենտրոն, Պուշկինի փող,"680,000","3,656",2,Մոնոլիտ,3 Մ,Վերանորոգված,186 Ք.Մ.,5,6/10
43,138738,Երևան, Կենտրոն, Պուշկինի փող,"300,000","3,750",1,Քարե,3.2 Մ,Վերանորոգված,80 Ք.Մ.,3,2/4
44,134192,Երևան, Աջափնյակ, Շինարարների փող,"79,500","1,223",1,Պանելային,2.8 Մ,Լավ,65 Ք.Մ.,2,10/12
45,149053,Երևան, Դավթաշեն, Միկոյան փող,"190,000","1,180",2,Մոնոլիտ,3 Մ,Զրոյական,161 Ք.Մ.,5,2/12
46,153822,Երևան, Արաբկիր, Գրիբոեդովի փող,"135,000","1,824",1,Քարե,3 Մ,Վերանորոգված,74 Ք.Մ.,2,5/5
47,153777,Երևան, Աջափնյակ, Բաշինջաղյան փող,"107,500","1,222",2,Պանելային,2.8 Մ,Լավ,88 Ք.Մ.,3,3/16
48,140352,Երևան, Աջափնյակ, Շինարարների փող,"108,000","1,565",1,Այլ,2.8 Մ,Լավ,69 Ք.Մ.,1,1/5
49,124007,Երևան, Արաբկիր, Ազատության պող,"478,250","2,504",3,Մոնոլիտ,3 Մ,Վերանորոգված,191 Ք.Մ.,4,4/6
50,123218,Երևան, Կենտրոն, Խորենացու փող,"165,000","1,755",1,Պանելային,2.8 Մ,Լավ,94 Ք.Մ.,3,3/11
51,127456,Երևան, Կենտրոն, Իսրաելյան փող,"135,000","2,455",1,Պանելային,2.8 Մ,Լավ,55 Ք.Մ.,2,6/10
52,125838,Երևան, Կենտրոն, Դեղատան փող,"215,000","2,287",1,Մոնոլիտ,3 Մ,Վերանորոգված,94 Ք.Մ.,3,10/10
53,140351,Երևան, Կենտրոն, Պուշկինի փող,"835,200","4,800",3,Մոնոլիտ,3 Մ,Վերանորոգված,174 Ք.Մ.,4,7/10
54,134462,Երևան, Արաբկիր, Հր.Քոչար փող,"150,000","1,974",1,Քարե,2.8 Մ,Լավ,76 Ք.Մ.,3,3/5
55,125086,Երևան, Արաբկիր, Հակոբյան փող,"185,000","1,051",1,Քարե,2.8 Մ,Վերանորոգված,176 Ք.Մ.,4,1/5
56,124918,Երևան, Կենտրոն, Տերյան փող,"330,000","2,357",1,Մոնոլիտ,3 Մ,Վերանորոգված,140 Ք.Մ.,4,10/10
57,126054,Երևան, Կենտրոն, Կողբացու փող,"205,000","2,563",1,Այլ,2.8 Մ,Լավ,80 Ք.Մ.,2,10/10
58,128007,Երևան, Կենտրոն, Թումանյան փող,"390,000","2,600",1,Քարե,3 Մ,Վերանորոգված,150 Ք.Մ.,3,4/5
59,134405,Երևան, Կենտրոն, Մաշտոցի պող,"300,000","3,000",2,Քարե,3 Մ,Վերանորոգված,100 Ք.Մ.,3,5/5
60,124040,Երևան, Կենտրոն, Աբովյան փող,"764,500","5,500",3,Մոնոլիտ,3 Մ,Զրոյական,139 Ք.Մ.,4,5/10
61,124811,Երևան, Կենտրոն, Տերյան փող,"460,000","3,538",2,Մոնոլիտ,3 Մ,Վերանորոգված,130 Ք.Մ.,3,10/11
62,122688,Երևան, Կենտրոն, Կողբացու փող,"300,000","3,191",1,Պանելային,2.8 Մ,Վերանորոգված,94 Ք.Մ.,3,4/12
63,122464,Երևան, Կենտրոն, Մաշտոցի պող,"280,000","2,857",2,Պանելային,2.8 Մ,Վերանորոգված,98 Ք.Մ.,3,8/11
64,122709,Երևան, Կենտրոն, Ա.Մանուկյան փող,"225,000","3,629",1,Մոնոլիտ,3 Մ,Վերանորոգված,62 Ք.Մ.,3,8/10
65,137900,Երևան, Կենտրոն, Իսահակյան փող,"320,000","3,168",1,Քարե,3 Մ,Վերանորոգված,101 Ք.Մ.,3,2/5
66,125805,Երևան, Կենտրոն, Ամիրյան փող,"200,000","1,626",1,Քարե,3.2 Մ,Վերանորոգված,123 Ք.Մ.,4,4/4
67,137181,Երևան, Կենտրոն, Վարդանանց փող,"250,000","2,000",2,Մոնոլիտ,3 Մ,Վերանորոգված,125 Ք.Մ.,3,13/15
68,140978,Երևան, Կենտրոն, Անտառային փող,"395,000","3,264",2,Մոնոլիտ,3 Մ,Վերանորոգված,121 Ք.Մ.,4,4/6
69,124851,Երևան, Կենտրոն, Արամի փող,"500,000","5,376",1,Մոնոլիտ,3 Մ,Վերանորոգված,93 Ք.Մ.,3,17/17
70,147170,Երևան, Կենտրոն, Արշակունյաց պող,"130,000","1,831",1,Քարե,2.8 Մ,Լավ,71 Ք.Մ.,3,3/6
71,125314,Երևան, Կենտրոն, Սարյան փող,"410,000","3,203",2,Մոնոլիտ,3 Մ,Վերանորոգված,128 Ք.Մ.,3,4/9
72,133900,Երևան, Կենտրոն, Ռոստոմի փող,"280,000","2,373",3,Մոնոլիտ,3 Մ,Զրոյական,118 Ք.Մ.,4,15/16
73,132331,Երևան, Կենտրոն, Վարդանանց փող,"400,000","4,301",1,Մոնոլիտ,3 Մ,Վերանորոգված,93 Ք.Մ.,3,12/22
74,122813,Երևան, Կենտրոն, Մաշտոցի պող,"190,000","2,533",1,Քարե,3 Մ,Լավ,75 Ք.Մ.,3,2/5
75,123201,Երևան, Կենտրոն, Տերյան փող,"400,000","3,200",1,Քարե,3.2 Մ,Լավ,125 Ք.Մ.,3,2/4
76,140587,Երևան, Կենտրոն, Անտառային փող,"470,000","3,264",2,Մոնոլիտ,3 Մ,Վերանորոգված,144 Ք.Մ.,4,1/5
77,138833,Երևան, Կենտրոն, Արամի փող,"700,000","4,895",2,Մոնոլիտ,3 Մ,Վերանորոգված,143 Ք.Մ.,3,5/15
78,152494,Երևան, Կենտրոն, Խորենացու փող,"189,000","2,589",2,Պանելային,2.8 Մ,Վերանորոգված,73 Ք.Մ.,3,6/9
79,127957,Երևան, Կենտրոն, Թումանյան փող,"306,000","4,371",1,Քարե,2.6 Մ,Վերանորոգված,70 Ք.Մ.,3,3/5
80,149785,Երևան, Կենտրոն, Արշակունյաց պող,"205,000","2,470",1,Մոնոլիտ,3 Մ,Զրոյական,83 Ք.Մ.,3,10/15
81,134099,Երևան, Կենտրոն, Բաղրամյան պող(Կենտրոն),"180,000","2,571",1,Պանելային,2.8 Մ,Վերանորոգված,70 Ք.Մ.,3,3/10
82,128493,Երևան, Կենտրոն, ՆարԴոսի փող,"199,000","2,031",1,Այլ,3 Մ,Վերանորոգված,98 Ք.Մ.,3,5/5
83,122757,Երևան, Կենտրոն, Սարյան փող,"620,000","3,758",1,Այլ,2.8 Մ,Լավ,165 Ք.Մ.,4,5/5
84,141268,Երևան, Կենտրոն, Սայաթ-Նովայի պող,"240,000","2,449",1,Պանելային,2.8 Մ,Լավ,98 Ք.Մ.,4,3/10
85,152563,Երևան, Կենտրոն, Անտառային փող,"345,000","2,974",1,Մոնոլիտ,3.2 Մ,Վերանորոգված,116 Ք.Մ.,3,1/5
86,136180,Երևան, Կենտրոն, Կորյուն փող,"395,000","4,647",2,Քարե,3 Մ,Վերանորոգված,85 Ք.Մ.,3,3/5
87,142272,Երևան, Դավթաշեն, Միկոյան փող,"147,000","2,070",1,Մոնոլիտ,3 Մ,Վերանորոգված,71 Ք.Մ.,3,7/14
88,154531,Երևան, Արաբկիր, Ադոնց փող,"150,000","2,500",1,Մոնոլիտ,3 Մ,Վերանորոգված,60 Ք.Մ.,2,8/14
89,154530,Երևան, Աջափնյակ, Լենինգրադյան փող,"108,500","1,904",1,Մոնոլիտ,3 Մ,Զրոյական,57 Ք.Մ.,2,12/14
90,139066,Երևան, Արաբկիր, Ադոնց փող,"119,000","2,125",1,Մոնոլիտ,3 Մ,Զրոյական,56 Ք.Մ.,2,15/15
91,145185,Երևան, Արաբկիր, Ադոնց փող,"129,000","2,804",1,Մոնոլիտ,3 Մ,Վերանորոգված,46 Ք.Մ.,2,6/10
92,144704,Երևան, Աջափնյակ, Լենինգրադյան փող,"94,500","1,500",1,Մոնոլիտ,3 Մ,Զրոյական,63 Ք.Մ.,2,2/15
93,154503,Երևան, Քանաքեռ-Զեյթուն, Ազատության պող,"149,000","1,355",1,Քարե,2.8 Մ,Վերանորոգված,110 Ք.Մ.,4,2/5
94,145327,Երևան, Կենտրոն, Խանջյան փող,"115,000","3,833",1,Քարե,3.2 Մ,Վերանորոգված,30 Ք.Մ.,2,5/5
95,150041,Երևան, Կենտրոն, Խանջյան փող,"128,000","3,282",1,Քարե,3.2 Մ,Վերանորոգված,39 Ք.Մ.,2,5/5
96,153820,Երևան, Կենտրոն, Դեղատան փող,"115,000","2,500",1,Պանելային,2.8 Մ,Վերանորոգված,46 Ք.Մ.,2,6/10
97,153965,Երևան, Արաբկիր, Բաղրամյան պող(Արաբկիր),"112,000","2,667",1,Պանելային,2.8 Մ,Վերանորոգված,42 Ք.Մ.,2,6/9
98,153941,Երևան, Կենտրոն, Նալբանդյան փող,"195,000","2,786",2,Քարե,3 Մ,Վերանորոգված,70 Ք.Մ.,3,6/6
99,140269,Երևան, Քանաքեռ-Զեյթուն, Ներսիսյան փող.,"190,000","2,969",1,Մոնոլիտ,3 Մ,Վերանորոգված,64 Ք.Մ.,2,17/18
100,129131,Երևան, Քանաքեռ-Զեյթուն, Դավիթ Անհաղթի փող,"120,000","1,875",1,Պանելային,2.8 Մ,Վերանորոգված,64 Ք.Մ.,2,4/10
101,143473,Երևան, Արաբկիր, Համբարձումյան փող,"118,000","1,761",1,Այլ,2.8 Մ,Լավ,67 Ք.Մ.,2,4/9
102,142983,Երևան, Արաբկիր, Կոմիտասի պող,"165,000","2,538",1,Մոնոլիտ,3 Մ,Վերանորոգված,65 Ք.Մ.,2,11/15
103,154790,Երևան, Կենտրոն, Անտառային փող,"400,000","3,077",1,Մոնոլիտ,3 Մ,Վերանորոգված,130 Ք.Մ.,3,3/5
104,154788,Երևան, Կենտրոն, Անտառային փող,"400,000","3,077",1,Մոնոլիտ,3 Մ,Վերանորոգված,130 Ք.Մ.,3,3/5
105,154750,Երևան, Կենտրոն, Արգիշտի փող,"335,000","1,914",3,Մոնոլիտ,3 Մ,Վերանորոգված,175 Ք.Մ.,5,12/14
106,154751,Երևան, Կենտրոն, Արգիշտի փող,"335,000","1,914",3,Մոնոլիտ,3 Մ,Վերանորոգված,175 Ք.Մ.,5,12/14
107,150177,Երևան, Կենտրոն, Անտառային փող,"360,000","3,564",2,Մոնոլիտ,3 Մ,Վերանորոգված,101 Ք.Մ.,3,3/8
108,147788,Երևան, Կենտրոն, Հյուսիսային պող,"1,900,000","9,500",2,Մոնոլիտ,3 Մ,Վերանորոգված,200 Ք.Մ.,4,4/9
109,147614,Երևան, Դավթաշեն, Միկոյան փող,"214,000","1,945",1,Մոնոլիտ,3 Մ,Վերանորոգված,110 Ք.Մ.,3,14/18
110,147998,Երևան, Դավթաշեն, Սասնա Ծռեր փող.,"315,000","3,462",2,Մոնոլիտ,3 Մ,Վերանորոգված,91 Ք.Մ.,3,10/18
111,147078,Երևան, Արաբկիր, Ազատության պող,"130,000","1,585",1,Քարե,3.2 Մ,Լավ,82 Ք.Մ.,3,4/5
112,135051,Երևան, Քանաքեռ-Զեյթուն, Ներսիսյան փող. փակ.,"740,000","2,751",4,Մոնոլիտ,3 Մ,Վերանորոգված,269 Ք.Մ.,4,17/19
113,146528,Երևան, Կենտրոն, Հյուսիսային պող,"1,200,000","7,547",3,Մոնոլիտ,3 Մ,Վերանորոգված,159 Ք.Մ.,3,7/9
114,143734,Երևան, Արաբկիր, Մալխասյանց փող,"220,000","3,014",1,Մոնոլիտ,3 Մ,Վերանորոգված,73 Ք.Մ.,3,4/14
115,154634,Երևան, Կենտրոն, Հյուսիսային պող,"1,150,000","6,805",3,Մոնոլիտ,3 Մ,Վերանորոգված,169 Ք.Մ.,4,5/10
116,154637,Երևան, Քանաքեռ-Զեյթուն, Կ. Ուլնեցու փող.,"150,000","2,459",1,Մոնոլիտ,3 Մ,Վերանորոգված,61 Ք.Մ.,2,7/15
117,144107,Երևան, Արաբկիր, Վ. Դավթյան փող,"500,000","2,924",2,Մոնոլիտ,3 Մ,Վերանորոգված,171 Ք.Մ.,4,4/6
118,143915,Երևան, Արաբկիր, Արաբկիր 39րդ փող,"200,000","3,279",1,Մոնոլիտ,3 Մ,Վերանորոգված,61 Ք.Մ.,3,1/6
119,154636,Երևան, Կենտրոն, Տիգրան Մեծի պող,"255,000","3,072",2,Քարե,3.2 Մ,Վերանորոգված,83 Ք.Մ.,4,2/5
120,145488,Երևան, Կենտրոն, Իսահակյան փող,"320,000","3,168",1,Քարե,3.2 Մ,Վերանորոգված,101 Ք.Մ.,3,4/4
121,152061,Երևան, Կենտրոն, Մաշտոցի պող,"250,000","3,571",1,Պանելային,2.8 Մ,Վերանորոգված,70 Ք.Մ.,3,3/9
122,153280,Երևան, Կենտրոն, Ա.Մանուկյան փող,"800,000","2,667",4,Մոնոլիտ,3 Մ,Վերանորոգված,300 Ք.Մ.,6,6/6
123,153313,Երևան, Արաբկիր, Կոմիտասի պող,"150,000","1,705",2,Մոնոլիտ,3 Մ,Զրոյական,88 Ք.Մ.,2,8/20
124,143588,Երևան, Արաբկիր, Ն. Զարյան փող,"215,000","1,593",2,Մոնոլիտ,3 Մ,Զրոյական,135 Ք.Մ.,4,3/6
125,154566,Երևան, Կենտրոն, Տերյան փող,"400,000","3,960",2,Քարե,3.2 Մ,Լավ,101 Ք.Մ.,3,4/5
126,153743,Երևան, Քանաքեռ-Զեյթուն, Դավիթ Անհաղթի փող,"260,000","2,131",2,Մոնոլիտ,3 Մ,Զրոյական,122 Ք.Մ.,4,11/15
127,143603,Երևան, Արաբկիր, Ա. Ավետիսյան փող,"220,000","2,895",1,Քարե,2.8 Մ,Վերանորոգված,76 Ք.Մ.,3,4/5
128,144473,Երևան, Դավթաշեն, Դավթաշեն 4 թաղ,"195,000","2,267",1,Պանելային,2.8 Մ,Վերանորոգված,86 Ք.Մ.,3,10/11
129,154306,Երևան, Արաբկիր, Վ.Վաղարշյան փող,"210,000","3,443",1,Մոնոլիտ,3 Մ,Լավ,61 Ք.Մ.,2,5/14
130,153877,Երևան, Արաբկիր, Բաղրամյան պող(Արաբկիր),"238,000","3,216",1,Քարե,3.2 Մ,Լավ,74 Ք.Մ.,3,2/5
131,154425,Երևան, Կենտրոն, Պարոնյան փող,"325,000","4,012",1,Մոնոլիտ,3 Մ,Լավ,81 Ք.Մ.,3,13/14
132,154491,Երևան, Արաբկիր, Մամիկոնյանց փող,"380,000","1,719",2,Մոնոլիտ,3 Մ,Զրոյական,221 Ք.Մ.,4,7/16
133,151657,Երևան, Դավթաշեն, Դավթաշենի 1-ին փող,"118,000","2,145",1,Մոնոլիտ,2.8 Մ,Վերանորոգված,55 Ք.Մ.,2,5/13
134,146686,Երևան, Կենտրոն, Վարդանանց փող,"900,000","5,357",3,Մոնոլիտ,3 Մ,Լավ,168 Ք.Մ.,4,6/22
135,145846,Երևան, Քանաքեռ-Զեյթուն, Գոգոլի փող. փակ,"130,000","2,600",1,Մոնոլիտ,3.2 Մ,Զրոյական,50 Ք.Մ.,2,14/16
136,153055,Երևան, Քանաքեռ-Զեյթուն, Գոգոլի փող.,"170,000","1,650",2,Մոնոլիտ,3 Մ,Զրոյական,103 Ք.Մ.,3,7/16
137,144890,Երևան, Կենտրոն, Մաշտոցի պող,"360,000","3,913",1,Քարե,3 Մ,Վերանորոգված,92 Ք.Մ.,3,4/4
138,151380,Երևան, Քանաքեռ-Զեյթուն, Գոգոլի փող.,"255,000","1,962",2,Մոնոլիտ,3 Մ,Վերանորոգված,130 Ք.Մ.,3,11/16
139,154406,Երևան, Կենտրոն, Կողբացու փող,"295,000","5,175",1,Մոնոլիտ,3 Մ,Վերանորոգված,57 Ք.Մ.,2,9/18
140,153199,Երևան, Քանաքեռ-Զեյթուն, Սևակի փող,"115,000","1,716",1,Մոնոլիտ,3 Մ,Զրոյական,67 Ք.Մ.,2,14/18
141,154011,Երևան, Կենտրոն, Թամանյան փող,"1,000,000","8,929",2,Քարե,3 Մ,Վերանորոգված,112 Ք.Մ.,3,3/5
142,153688,Երևան, Կենտրոն, Զարոբյան(Զարուբյան) փող,"535,000","4,053",1,Քարե,3 Մ,Վերանորոգված,132 Ք.Մ.,4,2/5
143,154691,Երևան, Մալաթիա-Սեբաստիա, Լենինգրադյան փ,"170,000","3,091",1,Մոնոլիտ,3 Մ,Վերանորոգված,55 Ք.Մ.,2,4/16
144,154693,Երևան, Կենտրոն, Հանրապետության փող,"290,000","3,021",2,Պանելային,2.8 Մ,Վերանորոգված,96 Ք.Մ.,3,6/10
145,154570,Երևան, Կենտրոն, Պուշկինի փող,"270,000","3,034",1,Պանելային,2.8 Մ,Վերանորոգված,89 Ք.Մ.,4,3/9
146,154692,Երևան, Կենտրոն, Թումանյան փող,"650,000","7,303",3,Քարե,3 Մ,Վերանորոգված,89 Ք.Մ.,5,3/3
147,154722,Երևան, Կենտրոն, Ռաֆայել Լեմկինի փողոց,"195,000","2,216",1,Պանելային,3 Մ,Վերանորոգված,88 Ք.Մ.,3,7/9
148,154694,Երևան, Արաբկիր, Բաղրամյան պող(Արաբկիր),"160,000","2,540",1,Քարե,3 Մ,Զրոյական,63 Ք.Մ.,2,4/5
149,154710,Երևան, Արաբկիր, Մալխասյանց փող,"650,000","6,132",2,Մոնոլիտ,3 Մ,Վերանորոգված,106 Ք.Մ.,3,12/14
150,154733,Երևան, Կենտրոն, Վարդանանց փող,"145,000","3,222",1,Պանելային,2.8 Մ,Լավ,45 Ք.Մ.,2,8/10
151,154128,Երևան, Նորք Մարաշ, Գ. Հովսեփյան փող,"546,000","4,299",2,Մոնոլիտ,3.2 Մ,Զրոյական,127 Ք.Մ.,3,3/5
152,154736,Երևան, Կենտրոն, Սայաթ-Նովայի պող փակ,"330,000","4,583",1,Մոնոլիտ,3 Մ,Լավ,72 Ք.Մ.,3,2/5
153,153793,Երևան, Կենտրոն, Անտառային փող,"225,000","3,516",1,Մոնոլիտ,3 Մ,Վերանորոգված,64 Ք.Մ.,2,2/5
154,153120,Երևան, Քանաքեռ-Զեյթուն, Կ. Ուլնեցու փող.,"83,000","2,075",1,Քարե,2.8 Մ,Վերանորոգված,40 Ք.Մ.,2,4/5
155,154658,Երևան, Արաբկիր, Ազատության պող,"260,000","2,600",1,Մոնոլիտ,3 Մ,Զրոյական,100 Ք.Մ.,3,3/4
156,154744,Երևան, Աջափնյակ, Աբելյան փող,"120,000","1,846",1,Մոնոլիտ,3 Մ,Լավ,65 Ք.Մ.,2,7/14
157,153641,Երևան, Կենտրոն, Ձորափի փող,"210,000","3,182",1,Մոնոլիտ,3 Մ,Վերանորոգված,66 Ք.Մ.,3,4/12
158,154449,Երևան, Քանաքեռ-Զեյթուն, Գոգոլի փող.,"190,000","1,545",2,Մոնոլիտ,3 Մ,Զրոյական,123 Ք.Մ.,3,5/16
159,152178,Երևան, Արաբկիր, Ադոնց փող,"230,000","2,473",2,Մոնոլիտ,3 Մ,Վերանորոգված,93 Ք.Մ.,3,2/8
160,153795,Երևան, Արաբկիր, Բաղրամյան պող 3րդ նր,"370,000","2,011",3,Մոնոլիտ,3 Մ,Զրոյական,184 Ք.Մ.,4,3/6
161,134230,Երևան, Կենտրոն, Զավարյան փող,"100,000","2,174",1,Այլ,3 Մ,Վերանորոգված,46 Ք.Մ.,2,1/9
162,154752,Երևան, Արաբկիր, Կոմիտասի պող,"165,000","2,538",1,Քարե,3.2 Մ,Վերանորոգված,65 Ք.Մ.,2,3/5
163,154762,Երևան, Արաբկիր, Աղբյուր Սերոբ փող,"350,000","3,684",2,Մոնոլիտ,3 Մ,Վերանորոգված,95 Ք.Մ.,4,3/7
164,154515,Երևան, Արաբկիր, Մալխասյանց փող,"280,000","2,979",2,Մոնոլիտ,3.2 Մ,Վերանորոգված,94 Ք.Մ.,3,13/14
165,154404,Երևան, Կենտրոն, Ռոստոմի փող,"151,000","2,849",1,Մոնոլիտ,3 Մ,Վերանորոգված,53 Ք.Մ.,2,9/10
166,154701,Երևան, Կենտրոն, Անտառային փող,"230,000","4,259",1,Մոնոլիտ,3 Մ,Վերանորոգված,54 Ք.Մ.,2,4/5
167,153939,Երևան, Քանաքեռ-Զեյթուն, Լեփսիուսի   փող,"86,000","1,132",1,Քարե,2.8 Մ,Լավ,76 Ք.Մ.,3,4/5
168,153867,Երևան, Կենտրոն, Ռոստոմի փող,"265,000","2,477",1,Քարե,3 Մ,Վերանորոգված,107 Ք.Մ.,3,15/17
169,146753,Երևան, Կենտրոն, Նալբանդյան փող,"270,000","1,957",2,Քարե,3 Մ,Վերանորոգված,138 Ք.Մ.,4,4/4
